TradingDay,hc,rb,i,j,jm,au,ag,v,ru,l,pp,bu,TA,FG,MA,y,p,m,a,c,cs,jd,RM,CF,SR,OI
20190403,5824.07016206658,3303.234133275862,1281.7213201153536,2600.5291378951983,1643.0359317912812,244.2284993637924,2797.46058862526,4983.593220705783,5006.07041473444,11739.683303095982,15300.948436735713,2332.3143810335932,8022.062165607103,1972.8076364445924,2705.2280686253303,3898.1608866198617,2833.391629618637,6494.937134990993,3326.0185161413733,1553.121324072201,2840.274547839178,3726.3165324959023,3632.3594506325894,13135.14066967361,3347.1832445933583,5872.014034886475
20190404,5856.045449230868,3309.68036659979,1276.6310845310988,2617.887428803275,1642.3776641904033,244.27166452804897,2799.8133729722954,4998.469618379532,5016.703529464123,11774.727133851493,15338.626663420922,2320.4148178650544,8207.804531143689,1989.7482172415405,2719.594067355775,3898.1608866198617,2855.1770921711095,6512.1977879693295,3305.1750697555276,1576.5268122713517,2861.3964495510177,3776.563035221587,3633.9883113727833,13118.354547412046,3339.28117909363,5881.165657780178
20190408,6021.860024608584,3434.9214711789696,1330.5875817241995,2668.676502200981,1656.8595514097174,245.30762847020716,2806.0874645643903,5110.042600932647,5033.716513031614,11963.96381993125,15806.913195079931,2332.3143810335932,8366.63052895854,1994.368375640708,2790.3189841825815,3900.946282037239,2852.6140965767013,6507.266172832662,3311.1303401514833,1570.675440221564,2845.2444070654933,3785.535624994031,3643.7614758139475,13214.874750416036,3362.9873755928156,5906.956595026066
20190409,6043.202494706707,3459.7855139998364,1319.389063438839,2629.459622741993,1627.6208534436637,245.5234542914901,2816.282863401544,5080.289805585149,4976.2976934913295,11928.91998917574,15717.203131543723,2299.2600388987635,8425.853782381026,1974.347689244315,2752.746372118341,3921.8367476675708,2879.2627208334684,6462.881636602656,3309.1452500194982,1560.6445167076424,2834.062223806284,3784.6383660167867,3593.266792867934,13256.840056069947,3343.8907173018047,5904.460697873238
20190410,6057.978050928484,3475.4406520722337,1325.4973461399447,2594.1001412625774,1610.564946296799,246.7320788906747,2812.361556156485,5084.008905003587,5084.75546373409,11963.96381993125,15754.88135822893,2299.2600388987635,8412.393952057733,1997.4484812401533,2738.380373387896,3906.517072871994,2841.712386653478,6462.881636602656,3313.115430283469,1568.1677093430835,2844.0019422589144,3792.713696811986,3594.8956536081278,13311.39495342003,3432.1304487154407,5902.796766438019
20190411,6079.320521026605,3506.7509282170286,1332.6236759579012,2587.0282449666943,1598.9912950185694,247.0342350404708,2804.5189416663666,5124.918998606395,5065.615857220661,11984.990118384556,15801.530591267758,2295.2935178425837,8490.46096793283,2010.9854061883173,2726.641408420138,3898.1608866198617,2829.599375627675,6480.142289580992,3299.2197993595714,1572.3472608072177,2840.274547839178,3790.9191788574976,3607.9265395296798,13340.770667377765,3437.398492381926,5901.132835002801
20190412,6062.903236335743,3493.858461569172,1330.5875817241995,2611.458432170654,1605.082690428164,244.57382067784513,2776.28552950194,5065.413407911401,5074.122349004408,11977.981352233453,15814.090000162827,2278.105259932472,8555.068153484634,2003.4648923282261,2699.9619425843243,3900.946282037239,2847.76889216638,6413.565485235981,3285.3241684356744,1585.7218254924464,2856.4265903247024,3816.9396891975844,3572.091603245412,13349.163728508547,3462.4216997977333,5901.96480072041
20190415,6159.765216011835,3526.0896281888135,1329.5695346073485,2635.888619374614,1615.4380626244747,243.2357005858908,2759.816039072691,5054.256109656089,5035.843135977551,11914.902456873535,15663.377093421997,2267.5278704493267,8525.45652677339,2000.45668678419,2664.7450476810504,3884.233909532974,2827.176773422514,6490.005519854326,3313.115430283469,1595.752749006368,2873.4363615984357,3817.8369481748286,3627.4728684120073,13529.614542820356,3569.099584044069,5858.702583404726
20190416,6066.186693273915,3480.965994921315,1287.8296028164593,2650.03241196638,1607.5192485920018,243.01987476460786,2769.2271764608336,5065.413407911401,4969.91782465352,11886.867392269127,15632.875671819687,2279.4274336178655,8536.224391032023,2017.0018172763898,2636.9984032118045,3864.7361416113313,2812.6411601915497,6497.402942559327,3309.1452500194982,1598.2604798848486,2883.1562308977113,3801.68628658443,3633.9883113727833,13353.360259073937,3541.442354795019,5852.046857663851
20190417,6105.588176531986,3494.7793520440187,1264.4145191288874,2632.031221395041,1613.6106440015963,241.72491983691012,2769.2271764608336,5065.413407911401,4952.904841086029,11872.849859966922,15636.464074361134,2295.2935178425837,8477.001137609537,2007.9772006442809,2642.3342963789673,3877.27042098953,2828.3880745250945,6445.62098362432,3290.2868937656376,1591.573197542234,2872.2213779360263,3799.891768629941,3606.297678789486,13336.574136812374,3532.223278378669,5865.3583091456
20190418,5985.741998288686,3416.5036616820316,1262.3784248951854,2587.0282449666943,1605.6918299691233,240.17097392367282,2762.168823419727,5024.503314308592,4848.700316735142,11676.604407736064,15473.191758725236,2260.9170020223605,8081.282126104742,1985.415659064008,2577.2363997395823,3825.7406057680455,2779.936030421881,6430.826138214317,3291.2794388316306,1584.0500049067928,2861.286524974341,3825.912278970028,3603.0399573090976,13261.036586635337,3480.2013471721225,5818.7682289594795
20190419,6051.411137052138,3442.288594977745,1265.4325662457381,2635.888619374614,1628.229992984623,241.29326819434422,2767.65865356281,5046.817910819215,4878.473037978252,11676.604407736064,15518.04679049334,2307.1930810111226,8083.9740921694,2018.5059200484081,2602.8486869419635,3836.882187437556,2795.682944755425,6438.2235609193185,3301.884029876489,1594.9168387135412,2886.80118188494,3856.419084196337,3632.3594506325894,13298.805361723857,3516.419147379212,5816.272331806652
20190422,6087.529163372037,3474.5197615973866,1276.6310845310988,2614.6729304869646,1620.9203184931098,241.98391082244967,2781.775359645023,5076.570706166712,4882.726283870125,11627.54304467835,15507.281582868995,2361.4022021122432,8153.96520985052,2032.0428449965718,2622.057902343749,3839.6675828549332,2795.682944755425,6438.2235609193185,3289.3513313689286,1604.947762227463,2897.7360348466254,3817.8369481748286,3625.8440076718134,13328.181075681592,3529.589256545426,5820.432160394698
20190423,6061.261507866656,3459.7855139998364,1280.7032729985026,2630.7454220685167,1629.4482720665421,240.8616165517783,2763.7373463177505,5069.132507329838,4908.245759221363,11648.569343131656,15591.60904259303,2374.623938966175,8186.268802626422,2044.0756671727174,2624.192259610614,3832.7040943114894,2788.415138139943,6440.689368487652,3292.243492562981,1604.1118519346362,2894.091083859397,3851.0355303328706,3617.6997039708435,13315.59148398542,3518.394663754144,5808.784640348168
20190424,6039.919037768534,3434.9214711789696,1260.3423306614834,2632.031221395041,1644.6767605905284,240.73212105900853,2744.915071541466,5176.986390464515,4880.599660924189,11585.490447771737,15559.313419719996,2360.0800284268503,8151.273243785862,2039.5633588566627,2608.184580109126,3797.8866515942705,2767.823019396077,6416.031292804315,3297.063761219735,1599.9323004705022,2886.80118188494,3836.6793866969606,3599.78223582871,13210.678219850646,3515.760641920901,5708.948754235052
20190425,5989.025455226858,3418.3454426317253,1254.2340479603777,2617.887428803275,1638.5853651809339,242.07024115096283,2765.3058692157742,5158.39089337233,4889.106152707935,11627.54304467835,15471.397557454511,2419.5778442695437,8105.509820686668,2039.5633588566627,2624.192259610614,3792.315860759515,2772.6682238063986,6329.728027912635,3283.567008980824,1599.9323004705022,2880.7262635728925,3831.2958328334944,3552.545274363084,13130.944139108218,3479.542841713812,5692.309439882865
20190426,6039.919037768534,3443.2094854525917,1259.3242835446324,2590.8856429462667,1641.0219233447717,242.97670960035126,2781.775359645023,5158.39089337233,4793.4081201407935,11620.534278527248,15390.658500271924,2401.067412674039,8019.366906617596,2045.5797699447355,2551.624112537201,3732.429859285898,2727.850083010926,6312.467374934299,3243.0767522640904,1589.9013769565804,2861.286524974341,3800.7890276071857,3537.885527701338,13114.158016846655,3433.447459632062,5664.854571201758
20190429,6097.379534186555,3478.2033234967744,1290.883744167012,2632.031221395041,1650.1590164591635,242.8472141075815,2777.0697909509518,5147.233595117018,4787.028251302984,11613.525512376145,15439.101934581477,2365.368723168423,8024.750838746913,2033.54694776859,2569.7661493055543,3731.037161577209,2725.4274808057653,6327.262220344302,3248.861074652195,1602.4400313489825,2890.4461328721686,3778.357553176076,3559.06071732386,13013.441283277272,3431.4719432571296,5668.182434072195
20190430,6220.509169368028,3525.168737713967,1301.0642153355218,2631.388321731779,1647.1133187543662,243.23153359535505,2771.579960807869,5240.211080577947,4976.2976934913295,11641.560576980553,15577.255432427237,2410.4739035317016,8059.746397587473,2036.5551533126263,2559.094362971229,3742.1787432467195,2723.0048786006046,6334.659643049303,3256.5735045030015,1601.6041210561557,2888.0161655473494,3860.9053790825587,3555.802995843472,13093.1753640197,3372.8649574674764,5675.670125530679
20190506,6097.379534186555,3458.8646235249894,1299.0281211018198,2652.604010619428,1659.9052491145148,244.46989638929205,2770.0114379098454,5288.55937301763,4961.411332869775,11543.437850865124,15433.719330769303,2348.1226247942277,7868.6168069967225,2015.4977145043717,2580.43793563988,3722.680975325077,2655.1720168561055,6374.1125641426415,3274.890525398667,1607.4554931059433,2885.5861982225306,3883.3368535136683,3557.431856583666,12853.973121792418,3353.109793718155,5672.342262660241
20190507,6126.930646630109,3468.994418748305,1327.5334403736465,2724.6087729047836,1672.6971794746635,244.00017257090215,2778.5084055107955,5281.121174180756,5046.476250707234,11585.490447771737,15521.635193034788,2370.675214975867,7919.764162225233,2006.4730978722625,2613.5204732762886,3764.4619065857396,2681.820641112873,6411.0996776676475,3273.926471667316,1611.6350445700773,2907.455904145901,3910.254622831,3598.1533750885155,13072.192711192745,3383.401044800448,5724.756102869628
20190508,6053.052865521225,3435.8423616538166,1309.2085922703293,2761.2540537107234,1666.605784065069,245.23853536483915,2786.2329215116597,5247.649279414821,5037.9697589234875,11445.315124749695,15252.505002426162,2336.1830182274775,7917.072196160575,2012.4895089603353,2628.460974144344,3750.5349294988523,2672.1302322922306,6430.826138214317,3292.243492562981,1604.947762227463,2885.5861982225306,3903.0765510130445,3607.9265395296798,12942.100263665627,3368.255419259301,5723.924137152018
